ID,DATE,TIME,VMAX,PER
AL061983,830930,12,40,-15
AL061983,830930,18,30,0
AL051984,840818,6,25,0
AL051984,840818,12,25,0
AL051984,840818,18,30,5
AL051984,840819,0,30,5
AL051984,840819,6,30,0
AL051984,840819,12,35,5
AL051984,840819,18,35,5
AL051984,840820,0,40,5
AL051984,840820,6,45,10
AL051984,840820,12,50,10
AL051984,840820,18,50,5
AL051984,840821,0,45,-5
AL051984,840821,6,40,-10
AL051984,840821,12,30,-15
AL061984,840828,18,25,0
AL061984,840829,0,25,0
AL061984,840829,6,25,0
AL061984,840829,12,35,10
AL061984,840829,18,45,20
AL061984,840830,0,45,10
AL061984,840830,6,40,-5
AL061984,840830,12,35,-10
AL061984,840830,18,35,-5
AL061984,840831,0,35,0
AL061984,840831,6,35,0
AL061984,840831,12,35,0
AL061984,840831,18,30,-5
AL061984,840901,0,30,-5
AL061984,840901,6,30,0
AL061984,840901,12,30,0
AL061984,840901,18,25,-5
AL061984,840902,0,25,-5
AL061984,840902,6,25,0
AL061984,840902,12,25,0
AL061984,840902,18,30,5
AL061984,840903,0,30,5
AL061984,840903,6,30,0
AL061984,840903,12,30,0
AL061984,840903,18,30,0
AL061984,840904,0,25,-5
AL061984,840904,6,25,-5
AL061984,840904,12,25,0
AL061984,840904,18,25,0
AL061984,840905,0,25,0
AL061984,840905,6,25,0
AL061984,840905,12,25,0
AL061984,840905,18,25,0
AL071984,840830,12,25,0
AL071984,840830,18,25,0
AL071984,840831,0,30,5
AL071984,840831,6,30,5
AL071984,840831,12,35,5
AL071984,840831,18,35,5
AL071984,840901,0,35,0
AL071984,840901,6,35,0
AL071984,840901,12,30,-5
AL071984,840901,18,30,-5
AL071984,840902,0,30,0
AL071984,840902,6,30,0
AL071984,840902,12,25,-5
AL071984,840902,18,25,-5
AL071984,840903,0,25,0
AL071984,840903,6,25,0
AL071984,840903,12,20,-5
AL071984,840903,18,20,-5
AL071984,840904,0,20,0
AL071984,840904,6,20,0
AL071984,840904,12,20,0
AL071984,840904,18,20,0
AL081984,840831,0,25,0
AL081984,840831,6,30,0
AL081984,840831,12,35,10
AL081984,840831,18,35,5
AL081984,840901,0,40,5
AL081984,840901,6,40,5
AL081984,840901,12,40,0
AL081984,840901,18,40,0
AL081984,840902,0,45,5
AL081984,840902,6,45,5
AL081984,840902,12,50,5
AL101984,840908,12,35,0
AL101984,840908,18,40,0
AL101984,840909,0,45,10
AL101984,840909,6,50,10
AL101984,840909,12,55,10
AL101984,840909,18,60,10
AL101984,840910,0,60,5
AL101984,840910,6,60,0
AL101984,840910,12,65,5
AL101984,840910,18,70,10
AL101984,840911,0,80,15
AL101984,840911,6,85,15
AL101984,840911,12,100,20
AL101984,840911,18,110,25
AL101984,840912,0,115,15
AL101984,840912,6,95,-15
AL101984,840912,12,95,-20
AL101984,840912,18,90,-5
AL101984,840913,0,85,-10
AL101984,840913,6,80,-10
AL101984,840913,12,65,-20
AL101984,840913,18,55,0
AL101984,840914,0,45,0
AL101984,840914,6,40,0
AL101984,840914,12,45,0
AL101984,840914,18,50,0
AL101984,840915,0,55,0
AL101984,840915,6,60,10
AL101984,840915,12,60,5
AL101984,840915,18,60,0
AL101984,840916,0,60,0
AL111984,840914,0,30,0
AL111984,840914,6,35,0
AL111984,840914,12,40,10
AL111984,840914,18,45,10
AL111984,840915,0,55,15
AL111984,840915,6,25,-20
AL111984,840915,12,25,-30
AL121984,840915,12,25,0
AL121984,840915,18,25,0
AL121984,840916,0,30,5
AL121984,840916,6,30,5
AL121984,840916,12,30,0
AL121984,840916,18,35,5
AL121984,840917,0,45,15
AL121984,840917,6,50,15
AL121984,840917,12,50,5
AL121984,840917,18,55,5
AL121984,840918,0,55,5
AL121984,840918,6,55,0
AL121984,840918,12,55,0
AL121984,840918,18,50,-5
AL121984,840919,0,50,-5
AL121984,840919,6,50,0
AL121984,840919,12,45,-5
AL121984,840919,18,40,-10
AL121984,840920,0,35,-10
AL121984,840920,6,30,-10
AL121984,840920,12,25,-10
AL131984,840916,18,30,0
AL131984,840917,0,30,0
AL131984,840917,6,30,0
AL131984,840917,12,30,0
AL131984,840917,18,30,0
AL131984,840918,0,30,0
AL131984,840918,6,30,0
AL131984,840918,12,30,0
AL131984,840918,18,45,15
AL131984,840919,0,45,15
AL131984,840919,6,45,0
AL141984,840923,0,30,0
AL141984,840923,6,30,0
AL141984,840923,12,30,0
AL141984,840923,18,35,5
AL141984,840924,0,35,5
AL141984,840924,6,35,0
AL141984,840924,12,40,5
AL141984,840924,18,40,5
AL141984,840925,0,45,5
AL141984,840925,6,55,15
AL141984,840925,12,60,15
AL141984,840925,18,65,10
AL141984,840926,0,65,5
AL141984,840926,6,60,-5
AL141984,840926,12,50,-15
AL141984,840926,18,45,-15
AL141984,840927,0,40,-10
AL141984,840927,6,40,-5
AL141984,840927,12,35,-5
AL141984,840927,18,35,-5
AL141984,840928,0,35,0
AL141984,840928,6,35,0
AL141984,840928,12,40,5
AL141984,840928,18,40,5
AL141984,840929,0,45,5
AL141984,840929,6,45,5
AL141984,840929,12,45,0
AL141984,840929,18,40,-5
AL141984,840930,0,40,-5
AL141984,840930,6,35,-5
AL141984,840930,12,35,-5
AL141984,840930,18,35,0
AL141984,841001,0,40,5
AL141984,841001,6,45,10
AL141984,841001,12,50,10
AL141984,841001,18,50,5
AL141984,841002,0,50,0
AL141984,841002,6,50,0
AL141984,841002,12,50,0
AL141984,841002,18,45,-5
AL151984,840925,12,30,0
AL151984,840925,18,30,0
AL151984,840926,0,30,0
AL151984,840926,6,30,0
AL151984,840926,12,40,10
AL151984,840926,18,45,15
AL151984,840927,0,45,5
AL151984,840927,6,50,5
AL151984,840927,12,50,5
AL151984,840927,18,45,-5
AL151984,840928,0,45,0
AL151984,840928,6,45,0
AL151984,840928,12,45,0
AL151984,840928,18,45,0
AL151984,840929,0,45,0
AL151984,840929,6,45,0
AL151984,840929,12,45,0
AL151984,840929,18,45,0
AL151984,840930,0,50,5
AL151984,840930,6,40,-5
AL151984,840930,12,40,-10
AL151984,840930,18,40,0
AL151984,841001,0,30,-10
AL151984,841001,6,30,-10
AL151984,841001,12,25,-5
AL161984,841007,6,25,0
AL161984,841007,12,25,0
AL161984,841007,18,25,0
AL161984,841008,0,30,5
AL161984,841008,6,30,5
AL161984,841008,12,40,10
AL161984,841008,18,50,20
AL161984,841009,0,55,15
AL161984,841009,6,60,10
AL161984,841009,12,60,5
AL161984,841009,18,60,0
AL161984,841010,0,60,0
AL161984,841010,6,65,5
AL161984,841010,12,70,10
AL161984,841010,18,70,5
AL161984,841011,0,75,5
AL161984,841011,6,80,10
AL161984,841011,12,85,10
AL161984,841011,18,85,5
AL161984,841012,0,90,5
AL161984,841012,6,90,5
AL161984,841012,12,90,0
AL161984,841012,18,90,0
AL161984,841013,0,85,-5
AL161984,841013,6,85,-5
AL161984,841013,12,80,-5
AL161984,841013,18,70,-15
AL161984,841014,0,65,-15
AL161984,841014,6,65,-5
AL161984,841014,12,70,5
AL161984,841014,18,70,5
AL161984,841015,0,70,0
AL161984,841015,6,65,-5
AL161984,841015,12,65,-5
AL161984,841015,18,65,0
AL161984,841016,0,65,0
AL161984,841016,6,65,0
AL161984,841016,12,65,0
AL161984,841016,18,65,0
AL161984,841017,0,65,0
AL161984,841017,6,60,-5
AL161984,841017,12,60,-5
AL161984,841017,18,55,-5
AL161984,841018,0,50,-10
AL161984,841018,6,50,-5
AL161984,841018,12,50,0
AL181984,841105,18,15,0
AL181984,841106,0,15,0
AL181984,841106,6,20,5
AL181984,841106,12,25,10
AL181984,841106,18,35,15
AL181984,841107,0,40,15
AL181984,841107,6,45,10
AL181984,841107,12,50,10
AL181984,841107,18,60,15
AL181984,841108,0,65,15
AL181984,841108,6,70,10
AL181984,841108,12,75,10
AL181984,841108,18,80,10
AL181984,841109,0,80,5
AL181984,841109,6,80,0
AL181984,841109,12,80,0
AL181984,841109,18,80,0
AL181984,841110,0,80,0
AL181984,841110,6,75,-5
AL181984,841110,12,75,-5
AL181984,841110,18,75,0
AL181984,841111,0,75,0
AL181984,841111,6,70,-5
AL181984,841111,12,70,-5
AL181984,841111,18,70,0
AL181984,841112,0,70,0
AL181984,841112,6,70,0
AL181984,841112,12,65,-5
AL181984,841112,18,60,-10
AL181984,841113,0,60,-5
AL181984,841113,6,55,-5
AL181984,841113,12,55,-5
AL201984,841212,12,50,0
AL201984,841212,18,50,0
AL201984,841213,0,55,5
AL201984,841213,6,55,5
AL201984,841213,12,55,0
AL201984,841213,18,55,0
AL201984,841214,0,55,0
AL201984,841214,6,55,0
AL201984,841214,12,55,0
AL201984,841214,18,55,0
AL201984,841215,0,55,0
AL201984,841215,6,55,0
AL201984,841215,12,55,0
AL201984,841215,18,55,0
AL201984,841216,0,55,0
AL201984,841216,6,55,0
AL201984,841216,12,55,0
AL201984,841216,18,55,0
AL201984,841217,0,55,0
AL201984,841217,6,55,0
AL201984,841217,12,55,0
AL201984,841217,18,55,0
AL201984,841218,0,55,0
AL201984,841218,6,55,0
AL201984,841218,12,60,5
AL201984,841218,18,60,5
AL201984,841219,0,60,0
AL201984,841219,6,60,0
AL201984,841219,12,60,0
AL201984,841219,18,60,0
AL201984,841220,0,60,0
AL201984,841220,6,60,0
AL201984,841220,12,70,10
AL201984,841220,18,70,10
AL201984,841221,0,70,0
AL201984,841221,6,70,0
AL201984,841221,12,70,0
AL201984,841221,18,70,0
AL201984,841222,0,70,0
AL201984,841222,6,70,0
AL201984,841222,12,70,0
AL201984,841222,18,70,0
AL201984,841223,0,65,-5
AL201984,841223,6,55,-15
AL201984,841223,12,50,-15
AL201984,841223,18,45,-10
AL201984,841224,0,35,-15
AL201984,841224,6,30,-15
AL201984,841224,12,25,-10
AL011985,850715,18,30,0
AL011985,850716,0,30,0
AL011985,850716,6,30,0
AL011985,850716,12,30,0
AL011985,850716,18,35,5
AL011985,850717,0,35,5
AL011985,850717,6,40,5
AL011985,850717,12,40,5
AL011985,850717,18,45,5
AL011985,850718,0,45,5
AL011985,850718,6,45,0
AL011985,850718,12,50,5
AL011985,850718,18,55,10
AL011985,850719,0,60,10
AL021985,850721,6,25,0
AL021985,850721,12,25,0
